time,temperature
2026-02-11 20:23:12.323+00,25.06
2026-02-11 20:23:17.343+00,25.24
2026-02-11 20:23:22.261+00,25.39
2026-02-11 20:23:27.274+00,25.43
2026-02-11 20:23:32.291+00,25.1
2026-02-11 20:23:37.311+00,24.85
2026-02-11 20:23:42.233+00,25.32
2026-02-11 20:23:47.346+00,24.54
2026-02-11 20:23:52.262+00,24.87
2026-02-11 20:23:57.236+00,24.68
2026-02-11 20:24:02.294+00,25.01
2026-02-11 20:24:07.313+00,25
2026-02-11 20:24:12.234+00,25.07
2026-02-11 20:24:17.348+00,24.82
2026-02-11 20:24:22.266+00,25.12
2026-02-11 20:24:27.235+00,25.18
2026-02-11 20:24:32.297+00,24.87
2026-02-11 20:24:37.321+00,25.12
2026-02-11 20:24:42.235+00,25.4
2026-02-11 20:24:47.346+00,25
2026-02-11 20:24:52.268+00,25.37
2026-02-11 20:24:57.234+00,24.84
2026-02-11 20:25:02.302+00,24.84
2026-02-11 20:25:07.352+00,24.71
2026-02-11 20:25:12.235+00,25.31
2026-02-11 20:25:17.253+00,24.9
2026-02-11 20:25:22.271+00,25.07
2026-02-11 20:25:27.234+00,25.08
2026-02-11 20:25:32.305+00,25.06
2026-02-11 20:25:37.322+00,24.9
2026-02-11 20:25:42.236+00,25.28
2026-02-11 20:25:47.254+00,24.73
2026-02-11 20:25:52.274+00,25.42
2026-02-11 20:25:57.234+00,24.51
2026-02-11 20:26:02.309+00,24.85
2026-02-11 20:26:07.328+00,25.14
2026-02-11 20:26:12.267+00,24.7
2026-02-11 20:26:17.258+00,25.32
2026-02-11 20:26:22.275+00,25.03
2026-02-11 20:26:27.234+00,24.77
2026-02-11 20:26:32.312+00,25.03
2026-02-11 20:26:37.329+00,25.42
2026-02-11 20:26:42.246+00,25.41
2026-02-11 20:26:47.263+00,24.8
2026-02-11 20:26:52.282+00,25.24
2026-02-11 20:26:57.301+00,24.6
2026-02-11 20:27:02.314+00,24.67
2026-02-11 20:27:07.339+00,25.24
2026-02-11 20:27:12.348+00,24.5
2026-02-11 20:27:17.264+00,24.61
2026-02-11 20:27:22.284+00,24.5
2026-02-11 20:27:27.299+00,25.2
2026-02-11 20:27:32.317+00,25.32
2026-02-11 20:27:37.339+00,25.3
2026-02-11 20:27:42.252+00,24.77
2026-02-11 20:27:47.276+00,24.6
2026-02-11 20:27:52.303+00,25.3
2026-02-11 20:27:57.327+00,25.47
2026-02-11 20:28:02.332+00,24.96
2026-02-11 20:28:07.341+00,25.37
2026-02-11 20:28:12.254+00,25.09
2026-02-11 20:28:17.277+00,24.92
2026-02-11 20:28:22.291+00,25.2
2026-02-11 20:28:27.374+00,25.26
2026-02-11 20:28:32.331+00,25.29
2026-02-11 20:28:37.341+00,24.55
2026-02-11 20:28:42.258+00,25.18
2026-02-11 20:28:47.284+00,24.7
2026-02-11 20:28:52.297+00,25.04
2026-02-11 20:28:57.31+00,25.34
2026-02-11 20:29:02.327+00,24.92
2026-02-11 20:29:07.347+00,25.36
2026-02-11 20:29:12.276+00,25.22
2026-02-11 20:29:17.278+00,25.4
2026-02-11 20:29:22.295+00,25.06
2026-02-11 20:29:27.316+00,25.3
2026-02-11 20:29:32.335+00,25.17
2026-02-11 20:29:37.348+00,25.04
2026-02-11 20:29:42.264+00,24.62
2026-02-11 20:29:47.283+00,25.43
2026-02-11 20:29:52.299+00,25.3
2026-02-11 20:29:57.316+00,24.64
2026-02-11 20:30:02.335+00,24.69
2026-02-11 20:30:07.249+00,25.1
2026-02-11 20:30:12.271+00,24.89
2026-02-11 20:30:17.284+00,24.89
2026-02-11 20:30:22.303+00,25.19
2026-02-11 20:30:27.321+00,25.08
2026-02-11 20:30:32.338+00,25.26
2026-02-11 20:30:37.259+00,25.21
2026-02-11 20:30:42.269+00,24.57
2026-02-11 20:30:47.29+00,25.37
2026-02-11 20:30:52.31+00,24.6
2026-02-11 20:30:57.328+00,25.2
2026-02-11 20:31:02.345+00,24.82
2026-02-11 20:31:07.276+00,24.7
2026-02-11 20:31:12.274+00,24.53
2026-02-11 20:31:17.293+00,25.35
2026-02-11 20:31:22.415+00,25.02
2026-02-11 20:31:27.326+00,25.16
2026-02-11 20:31:32.447+00,24.53
2026-02-11 20:31:37.262+00,25.24
2026-02-11 20:31:42.28+00,24.87
2026-02-11 20:31:47.319+00,24.54
2026-02-11 20:31:52.315+00,24.75
2026-02-11 20:31:57.336+00,25.29
2026-02-11 20:32:02.347+00,25.18
2026-02-11 20:32:07.268+00,25.01
2026-02-11 20:32:12.285+00,25.39
2026-02-11 20:32:17.3+00,24.59
2026-02-11 20:32:22.316+00,25.37
2026-02-11 20:32:27.34+00,24.75
2026-02-11 20:32:32.351+00,24.61
2026-02-11 20:32:37.29+00,24.8
2026-02-11 20:32:42.306+00,24.5
2026-02-11 20:32:47.305+00,24.63
2026-02-11 20:32:52.321+00,25.43
2026-02-11 20:32:57.352+00,24.7
2026-02-11 20:33:02.252+00,24.8
2026-02-11 20:33:07.279+00,24.99
2026-02-11 20:33:12.401+00,25.22
2026-02-11 20:33:17.361+00,25.4
2026-02-11 20:33:22.344+00,24.65
2026-02-11 20:33:27.344+00,24.73
2026-02-11 20:33:32.254+00,25.46
2026-02-11 20:33:37.274+00,25.2
2026-02-11 20:33:42.295+00,25.45
2026-02-11 20:33:47.313+00,24.72
2026-02-11 20:33:52.33+00,25.17
2026-02-11 20:33:57.354+00,25.37
2026-02-11 20:34:02.264+00,24.72
2026-02-11 20:34:07.275+00,24.95
2026-02-11 20:34:12.399+00,25.02
2026-02-11 20:34:17.336+00,25.4
2026-02-11 20:34:22.332+00,24.56
2026-02-11 20:34:27.349+00,25.24
2026-02-11 20:34:32.366+00,24.93
2026-02-11 20:34:37.287+00,24.79
2026-02-11 20:34:42.298+00,24.89
2026-02-11 20:34:47.238+00,25.27
2026-02-11 20:34:52.332+00,24.58
2026-02-11 20:34:57.351+00,24.95
2026-02-11 20:35:02.236+00,24.68
2026-02-11 20:35:07.283+00,24.55
2026-02-11 20:35:12.31+00,25.34
2026-02-11 20:35:17.241+00,25.11
2026-02-11 20:35:22.335+00,25.14
2026-02-11 20:35:27.252+00,24.82
2026-02-11 20:35:32.239+00,25.04
2026-02-11 20:35:37.291+00,24.86
2026-02-11 20:35:42.417+00,24.66
2026-02-11 20:35:47.237+00,24.65
2026-02-11 20:35:52.339+00,24.76
2026-02-11 20:35:57.268+00,24.5
2026-02-11 20:36:02.237+00,24.91
2026-02-11 20:36:07.29+00,24.67
2026-02-11 20:36:12.312+00,25.05
2026-02-11 20:36:17.244+00,24.97
2026-02-11 20:36:22.344+00,24.76
2026-02-11 20:36:27.377+00,25.26
2026-02-11 20:36:32.342+00,25
2026-02-11 20:36:37.407+00,25.35
2026-02-11 20:36:42.313+00,24.5
2026-02-11 20:36:47.24+00,25.35
2026-02-11 20:36:52.345+00,25.09
2026-02-11 20:36:57.262+00,25.29
2026-02-11 20:37:02.236+00,24.52
2026-02-11 20:37:07.3+00,24.68
2026-02-11 20:37:12.395+00,25.19
2026-02-11 20:37:17.281+00,25.07
2026-02-11 20:37:22.349+00,24.76
2026-02-11 20:37:27.269+00,25.33
2026-02-11 20:37:32.347+00,24.59
2026-02-11 20:37:37.363+00,24.64
2026-02-11 20:37:42.454+00,24.7
2026-02-11 20:37:47.394+00,24.53
2026-02-11 20:37:52.42+00,24.55
2026-02-11 20:37:57.495+00,25.24
2026-02-11 20:38:02.298+00,25.13
2026-02-11 20:38:07.388+00,25.17
2026-02-11 20:38:12.236+00,25.32
2026-02-11 20:38:17.388+00,25.17
2026-02-11 20:38:22.268+00,25.46
2026-02-11 20:38:27.271+00,24.56
2026-02-11 20:38:32.292+00,25.08
2026-02-11 20:38:37.236+00,25.19
2026-02-11 20:38:42.324+00,25.22
2026-02-11 20:38:47.342+00,24.63
2026-02-11 20:38:52.239+00,24.74
2026-02-11 20:38:57.303+00,24.85
2026-02-11 20:39:02.505+00,25.08
2026-02-11 20:39:07.247+00,24.68
2026-02-11 20:39:12.328+00,25.47
2026-02-11 20:39:17.345+00,24.55
2026-02-11 20:39:22.236+00,25.36
2026-02-11 20:39:27.297+00,25.21
2026-02-11 20:39:32.296+00,25.27
2026-02-11 20:39:37.238+00,25.19
2026-02-11 20:39:42.331+00,24.63
2026-02-11 20:39:47.349+00,24.96
2026-02-11 20:39:52.255+00,25.46
2026-02-11 20:39:57.281+00,24.73
2026-02-11 20:40:02.299+00,25.36
2026-02-11 20:40:07.258+00,25.29
2026-02-11 20:40:12.442+00,24.75
2026-02-11 20:40:17.258+00,24.97
2026-02-11 20:40:22.241+00,24.64
2026-02-11 20:40:27.285+00,24.91
2026-02-11 20:40:32.311+00,25.01
2026-02-11 20:40:37.257+00,25.27
2026-02-11 20:40:42.34+00,25.47
2026-02-11 20:40:47.256+00,25.13
2026-02-11 20:40:52.237+00,24.71
2026-02-11 20:40:57.291+00,25.11
2026-02-11 20:41:02.314+00,24.79
2026-02-11 20:41:07.237+00,25.37
2026-02-11 20:41:12.343+00,25.42
2026-02-11 20:41:17.26+00,24.95
2026-02-11 20:41:22.238+00,25.17
2026-02-11 20:41:27.292+00,24.83
2026-02-11 20:41:32.311+00,24.66
2026-02-11 20:41:37.238+00,25.16
2026-02-11 20:41:42.344+00,25.44
2026-02-11 20:41:47.263+00,25.45
2026-02-11 20:41:52.238+00,24.72
2026-02-11 20:41:57.295+00,24.89
2026-02-11 20:42:02.313+00,24.68
2026-02-11 20:42:07.338+00,24.51
2026-02-11 20:42:12.348+00,24.57
2026-02-11 20:42:17.263+00,24.51
2026-02-11 20:42:22.286+00,25
2026-02-11 20:42:27.298+00,25.01
2026-02-11 20:42:32.316+00,24.78
2026-02-11 20:42:37.337+00,24.95
2026-02-11 20:42:42.353+00,25.33
2026-02-11 20:42:47.268+00,24.99
2026-02-11 20:42:52.287+00,25.22
2026-02-11 20:42:57.301+00,24.5
2026-02-11 20:43:02.324+00,25.3
2026-02-11 20:43:07.337+00,24.87
2026-02-11 20:43:12.264+00,24.75
2026-02-11 20:43:17.27+00,24.88
2026-02-11 20:43:22.287+00,25.3
2026-02-11 20:43:27.406+00,24.85
2026-02-11 20:43:32.452+00,24.7
2026-02-11 20:43:37.339+00,25.37
2026-02-11 20:43:42.255+00,24.65
2026-02-11 20:43:47.273+00,25.31
2026-02-11 20:43:52.29+00,25.2
2026-02-11 20:43:57.311+00,25.47
2026-02-11 20:44:02.33+00,24.98
2026-02-11 20:44:07.343+00,25.09
2026-02-11 20:44:12.367+00,24.7
2026-02-11 20:44:17.28+00,25.4
2026-02-11 20:44:22.299+00,25.06
2026-02-11 20:44:27.311+00,25.27
2026-02-11 20:44:32.332+00,25.03
2026-02-11 20:44:37.363+00,25.29
2026-02-11 20:44:42.237+00,25.25
2026-02-11 20:44:47.28+00,24.57
2026-02-11 20:44:52.304+00,24.67
2026-02-11 20:44:57.315+00,24.84
2026-02-11 20:45:02.335+00,25.12
2026-02-11 20:45:07.351+00,24.5
2026-02-11 20:45:12.266+00,24.55
2026-02-11 20:45:17.292+00,25.16
2026-02-11 20:45:22.301+00,25.2
2026-02-11 20:45:27.325+00,24.81
2026-02-11 20:45:32.338+00,24.52
2026-02-11 20:45:37.355+00,24.76
2026-02-11 20:45:42.268+00,24.52
2026-02-11 20:45:47.287+00,24.63
2026-02-11 20:45:52.305+00,25.49
2026-02-11 20:45:57.323+00,24.79
2026-02-11 20:46:02.342+00,25.19
2026-02-11 20:46:07.254+00,25.23
2026-02-11 20:46:12.274+00,24.88
2026-02-11 20:46:17.29+00,24.79
2026-02-11 20:46:22.313+00,24.68
2026-02-11 20:46:27.328+00,25.33
2026-02-11 20:46:32.25+00,25.44
2026-02-11 20:46:37.259+00,24.54
2026-02-11 20:46:42.237+00,24.81
2026-02-11 20:46:47.294+00,24.92
2026-02-11 20:46:52.312+00,25.45
2026-02-11 20:46:57.327+00,24.93
2026-02-11 20:47:02.345+00,24.63
2026-02-11 20:47:07.266+00,25.49
2026-02-11 20:47:12.293+00,24.69
2026-02-11 20:47:17.294+00,24.81
2026-02-11 20:47:22.313+00,24.82
2026-02-11 20:47:27.334+00,24.57
2026-02-11 20:47:32.348+00,25.08
2026-02-11 20:47:37.262+00,25.48
2026-02-11 20:47:42.38+00,24.53
2026-02-11 20:47:47.306+00,25.42
2026-02-11 20:47:52.321+00,25.05
2026-02-11 20:47:57.345+00,25.46
2026-02-11 20:48:02.348+00,24.95
2026-02-11 20:48:07.268+00,24.95
2026-02-11 20:48:12.283+00,25.47
2026-02-11 20:48:17.299+00,25.2
2026-02-11 20:48:22.325+00,24.69
2026-02-11 20:48:27.448+00,25.06
2026-02-11 20:48:32.248+00,25.46
2026-02-11 20:48:37.301+00,25.49
2026-02-11 20:48:42.283+00,25.01
2026-02-11 20:48:47.306+00,24.83
2026-02-11 20:48:52.329+00,24.98
2026-02-11 20:48:57.336+00,25.4
2026-02-11 20:49:02.25+00,24.78
2026-02-11 20:49:07.274+00,25.3
2026-02-11 20:49:12.285+00,25.45
2026-02-11 20:49:17.316+00,24.68
2026-02-11 20:49:22.32+00,25.47
2026-02-11 20:49:27.337+00,24.57
2026-02-11 20:49:32.356+00,24.94
2026-02-11 20:49:37.272+00,25.06
2026-02-11 20:49:42.287+00,24.7
2026-02-11 20:49:47.304+00,25.17
2026-02-11 20:49:52.324+00,25.42
2026-02-11 20:49:57.34+00,25.09
2026-02-11 20:50:02.254+00,24.63
2026-02-11 20:50:07.275+00,25.32
2026-02-11 20:50:12.29+00,25.34
2026-02-11 20:50:17.523+00,25.05
2026-02-11 20:50:22.333+00,25.1
2026-02-11 20:50:27.343+00,25.26
2026-02-11 20:50:32.258+00,24.75
2026-02-11 20:50:37.274+00,24.91
2026-02-11 20:50:42.292+00,25.38
2026-02-11 20:50:47.411+00,25.42
2026-02-11 20:50:52.327+00,24.99
2026-02-11 20:50:57.344+00,25.22
2026-02-11 20:51:02.26+00,25.09
2026-02-11 20:51:07.277+00,25.1
2026-02-11 20:51:12.295+00,25.22
2026-02-11 20:51:17.311+00,24.76
2026-02-11 20:51:22.336+00,24.86
2026-02-11 20:51:27.248+00,24.96
2026-02-11 20:51:32.275+00,25.42
2026-02-11 20:51:37.285+00,24.77
2026-02-11 20:51:42.319+00,24.87
2026-02-11 20:51:47.324+00,24.86
2026-02-11 20:51:52.333+00,25.34
2026-02-11 20:51:57.247+00,25.35
2026-02-11 20:52:02.263+00,24.65
2026-02-11 20:52:07.286+00,24.58
2026-02-11 20:52:12.242+00,25.19
2026-02-11 20:52:17.317+00,25.38
2026-02-11 20:52:22.441+00,25.33
2026-02-11 20:52:27.253+00,24.72
2026-02-11 20:52:32.275+00,24.95
2026-02-11 20:52:37.284+00,25.1
2026-02-11 20:52:42.304+00,25.18
2026-02-11 20:52:47.319+00,24.55
2026-02-11 20:52:52.338+00,24.65
2026-02-11 20:52:57.358+00,25.25
2026-02-11 20:53:02.274+00,24.73
2026-02-11 20:53:07.234+00,25.04
2026-02-11 20:53:12.317+00,25.17
2026-02-11 20:53:17.322+00,24.91
2026-02-11 20:53:22.338+00,25.24
2026-02-11 20:53:27.357+00,24.94
2026-02-11 20:53:32.374+00,24.67
2026-02-11 20:53:37.292+00,24.96
2026-02-11 20:53:42.306+00,24.9
2026-02-11 20:53:47.324+00,24.64
2026-02-11 20:53:52.24+00,25.39
2026-02-11 20:53:57.258+00,25.22
2026-02-11 20:54:02.276+00,24.94
2026-02-11 20:54:07.292+00,24.69
2026-02-11 20:54:12.258+00,25.01
2026-02-11 20:54:17.326+00,25.14
2026-02-11 20:54:22.242+00,25.19
2026-02-11 20:54:27.222+00,25.43
2026-02-11 20:54:32.277+00,25.08
2026-02-11 20:54:37.31+00,25.31
2026-02-11 20:54:42.224+00,24.87
2026-02-11 20:54:47.329+00,25.11
2026-02-11 20:54:52.254+00,24.72
2026-02-11 20:54:57.223+00,24.99
2026-02-11 20:55:02.285+00,25.3
2026-02-11 20:55:07.297+00,24.92
2026-02-11 20:55:12.222+00,25.2
2026-02-11 20:55:17.332+00,25.26
2026-02-11 20:55:22.248+00,25.33
2026-02-11 20:55:27.222+00,24.8
2026-02-11 20:55:32.285+00,25.1
2026-02-11 20:55:37.3+00,25.39
2026-02-11 20:55:42.23+00,25.48
2026-02-11 20:55:47.337+00,25.23
2026-02-11 20:55:52.251+00,25.19
2026-02-11 20:55:57.221+00,25.28
2026-02-11 20:56:02.285+00,24.74
2026-02-11 20:56:07.303+00,24.78
2026-02-11 20:56:12.222+00,25.13
2026-02-11 20:56:17.235+00,25.45
2026-02-11 20:56:22.265+00,25.32
2026-02-11 20:56:27.226+00,24.55
2026-02-11 20:56:32.288+00,25.37
2026-02-11 20:56:37.308+00,24.53
2026-02-11 20:56:42.219+00,24.76
2026-02-11 20:56:47.227+00,24.93
2026-02-11 20:56:52.258+00,24.52
2026-02-11 20:56:57.219+00,25.06
2026-02-11 20:57:02.301+00,24.75
2026-02-11 20:57:07.308+00,24.79
2026-02-11 20:57:12.222+00,25
2026-02-11 20:57:17.24+00,24.83
2026-02-11 20:57:22.258+00,25.17
2026-02-11 20:57:27.256+00,24.98
2026-02-11 20:57:32.302+00,25.1
2026-02-11 20:57:37.348+00,24.78
2026-02-11 20:57:42.215+00,24.6
2026-02-11 20:57:47.245+00,24.86
2026-02-11 20:57:52.264+00,24.53
2026-02-11 20:57:57.297+00,24.61
2026-02-11 20:58:02.297+00,24.8
2026-02-11 20:58:07.314+00,24.65
2026-02-11 20:58:12.542+00,24.72
2026-02-11 20:58:17.352+00,24.51
2026-02-11 20:58:22.326+00,25.37
2026-02-11 20:58:27.281+00,24.53
2026-02-11 20:58:32.303+00,25.37
2026-02-11 20:58:37.315+00,24.65
2026-02-11 20:58:42.336+00,25.02
2026-02-11 20:58:47.26+00,25.4
2026-02-11 20:58:52.269+00,25.3
2026-02-11 20:58:57.285+00,24.74
2026-02-11 20:59:02.301+00,25.16
2026-02-11 20:59:07.332+00,24.72
2026-02-11 20:59:12.237+00,25.12
2026-02-11 20:59:17.253+00,25.24
2026-02-11 20:59:22.299+00,24.95
2026-02-11 20:59:27.293+00,24.93
2026-02-11 20:59:32.315+00,25.28
2026-02-11 20:59:37.322+00,24.61
2026-02-11 20:59:42.248+00,25.34
2026-02-11 20:59:47.258+00,25.03
2026-02-11 20:59:52.274+00,24.96
2026-02-11 20:59:57.295+00,25.42
2026-02-11 21:00:02.307+00,24.63
2026-02-11 21:00:07.325+00,25.47
2026-02-11 21:00:12.274+00,25.38
2026-02-11 21:00:17.258+00,24.56
2026-02-11 21:00:22.275+00,25.3
2026-02-11 21:00:27.293+00,25.27
2026-02-11 21:00:32.31+00,25.49
2026-02-11 21:00:37.328+00,25.29
2026-02-11 21:00:42.243+00,24.83
2026-02-11 21:00:47.371+00,25.2
2026-02-11 21:00:52.28+00,25.05
2026-02-11 21:00:57.295+00,25.31
2026-02-11 21:01:02.325+00,24.64
2026-02-11 21:01:07.375+00,24.88
2026-02-11 21:01:12.246+00,25.3
2026-02-11 21:01:17.264+00,25.27
2026-02-11 21:01:22.295+00,25.49
2026-02-11 21:01:27.307+00,24.62
2026-02-11 21:01:32.317+00,24.99
2026-02-11 21:01:37.232+00,25.38
2026-02-11 21:01:42.249+00,24.93
2026-02-11 21:01:47.267+00,24.67
2026-02-11 21:01:52.286+00,25.27
2026-02-11 21:01:57.301+00,24.84
2026-02-11 21:02:02.319+00,24.61
2026-02-11 21:02:07.235+00,25.46
2026-02-11 21:02:12.252+00,24.54
2026-02-11 21:02:17.284+00,24.78
2026-02-11 21:02:22.287+00,25.39
2026-02-11 21:02:27.304+00,25.21
2026-02-11 21:02:32.324+00,24.81
2026-02-11 21:02:37.237+00,24.86
2026-02-11 21:02:42.256+00,24.9
2026-02-11 21:02:47.272+00,25
2026-02-11 21:02:52.29+00,25.3
2026-02-11 21:02:57.412+00,25.01
2026-02-11 21:03:02.325+00,25.15
2026-02-11 21:03:07.246+00,25.14
2026-02-11 21:03:12.258+00,25.46
2026-02-11 21:03:17.297+00,24.66
2026-02-11 21:03:22.293+00,25.25
2026-02-11 21:03:27.311+00,25.05
2026-02-11 21:03:32.328+00,25.04
2026-02-11 21:03:37.244+00,24.65
2026-02-11 21:03:42.261+00,25.12
2026-02-11 21:03:47.278+00,24.97
2026-02-11 21:03:52.303+00,24.57
2026-02-11 21:03:57.524+00,25.36
2026-02-11 21:04:02.333+00,24.78
2026-02-11 21:04:07.255+00,24.97
2026-02-11 21:04:12.374+00,24.63
2026-02-11 21:04:17.282+00,25.45
2026-02-11 21:04:22.3+00,25.32
2026-02-11 21:04:27.316+00,25.21
2026-02-11 21:04:32.247+00,25.36
2026-02-11 21:04:37.353+00,24.77
2026-02-11 21:04:42.496+00,24.88
2026-02-11 21:04:47.225+00,25.32
2026-02-11 21:04:52.307+00,25.41
2026-02-11 21:04:57.38+00,24.58
2026-02-11 21:05:02.234+00,24.95
2026-02-11 21:05:07.251+00,25.3
2026-02-11 21:05:12.292+00,24.53
2026-02-11 21:05:17.219+00,24.65
2026-02-11 21:05:22.306+00,25.16
2026-02-11 21:05:27.323+00,24.89
2026-02-11 21:05:32.216+00,24.53
2026-02-11 21:05:37.257+00,24.61
2026-02-11 21:05:42.273+00,25.26
2026-02-11 21:05:47.214+00,24.82
2026-02-11 21:05:52.308+00,25.23
2026-02-11 21:05:57.326+00,24.88
2026-02-11 21:06:02.213+00,24.52
2026-02-11 21:06:07.259+00,25.09
2026-02-11 21:06:12.276+00,25.13
2026-02-11 21:06:17.215+00,25.11
2026-02-11 21:06:22.318+00,24.57
2026-02-11 21:06:27.33+00,25.45
2026-02-11 21:06:32.213+00,24.82
2026-02-11 21:06:37.261+00,25.45
2026-02-11 21:06:42.278+00,24.69
2026-02-11 21:06:47.213+00,24.66
2026-02-11 21:06:52.319+00,24.88
2026-02-11 21:06:57.238+00,24.54
2026-02-11 21:07:02.214+00,24.5
2026-02-11 21:07:07.265+00,24.91
2026-02-11 21:07:12.283+00,25.2
2026-02-11 21:07:17.217+00,24.53
2026-02-11 21:07:22.336+00,24.72
2026-02-11 21:07:27.456+00,24.75
2026-02-11 21:07:32.228+00,25.1
2026-02-11 21:07:37.267+00,25.32
2026-02-11 21:07:42.29+00,24.67
2026-02-11 21:07:47.213+00,24.84
2026-02-11 21:07:52.32+00,25.16
2026-02-11 21:07:57.237+00,25.47
2026-02-11 21:08:02.213+00,24.84
2026-02-11 21:08:07.276+00,25.14
2026-02-11 21:08:12.289+00,24.53
2026-02-11 21:08:17.212+00,25.48
2026-02-11 21:08:22.334+00,24.82
2026-02-11 21:08:27.239+00,25.12
2026-02-11 21:08:32.213+00,24.56
2026-02-11 21:08:37.274+00,24.97
2026-02-11 21:08:42.292+00,25.33
2026-02-11 21:08:47.218+00,24.87
2026-02-11 21:08:52.327+00,24.61
2026-02-11 21:08:57.247+00,25.06
2026-02-11 21:09:02.213+00,25.19
2026-02-11 21:09:07.298+00,25.19
2026-02-11 21:09:12.318+00,24.72
2026-02-11 21:09:17.217+00,25.42
2026-02-11 21:09:22.24+00,25.03
2026-02-11 21:09:27.246+00,25.45
2026-02-11 21:09:32.267+00,25.06
2026-02-11 21:09:37.28+00,24.82
2026-02-11 21:09:42.218+00,24.93
2026-02-11 21:09:47.316+00,24.62
2026-02-11 21:09:52.234+00,24.8
2026-02-11 21:09:57.254+00,25.29
2026-02-11 21:10:02.265+00,25.26
2026-02-11 21:10:07.284+00,25.09
2026-02-11 21:10:12.305+00,24.81
2026-02-11 21:10:17.318+00,25.11
2026-02-11 21:10:22.236+00,24.57
2026-02-11 21:10:27.263+00,24.88
2026-02-11 21:10:32.269+00,25.13
2026-02-11 21:10:37.287+00,25.32
2026-02-11 21:10:42.304+00,24.54
2026-02-11 21:10:47.324+00,25.31
2026-02-11 21:10:52.243+00,24.67
2026-02-11 21:10:57.257+00,25.21
2026-02-11 21:11:02.275+00,25.35
2026-02-11 21:11:07.292+00,25.27
2026-02-11 21:11:12.308+00,24.87
2026-02-11 21:11:17.326+00,25
2026-02-11 21:11:22.251+00,25.41
2026-02-11 21:11:27.212+00,24.95
2026-02-11 21:11:32.282+00,24.72
2026-02-11 21:11:37.293+00,25.23
2026-02-11 21:11:42.414+00,25.12
2026-02-11 21:11:47.219+00,24.6
2026-02-11 21:11:52.245+00,24.9
2026-02-11 21:11:57.262+00,24.55
2026-02-11 21:12:02.279+00,25.45
2026-02-11 21:12:07.305+00,25.32
2026-02-11 21:12:12.314+00,24.71
2026-02-11 21:12:17.23+00,25.01
2026-02-11 21:12:22.248+00,24.52
2026-02-11 21:12:27.272+00,25.29
2026-02-11 21:12:32.281+00,25.23
2026-02-11 21:12:37.3+00,25.19
2026-02-11 21:12:42.323+00,24.57
2026-02-11 21:12:47.233+00,25.35
2026-02-11 21:12:52.249+00,24.86
2026-02-11 21:12:57.266+00,24.7
2026-02-11 21:13:02.386+00,24.77
2026-02-11 21:13:07.418+00,25.11
2026-02-11 21:13:12.32+00,25.13
2026-02-11 21:13:17.235+00,25.25
2026-02-11 21:13:22.252+00,25.23
2026-02-11 21:13:27.27+00,25.36
2026-02-11 21:13:32.394+00,25.26
2026-02-11 21:13:37.309+00,25.13
2026-02-11 21:13:42.332+00,24.82
